Epoch,AMP_loss
1,4.10768155784023
2,3.6492851704967264
3,3.380155177748933
4,3.158556183990167
5,2.968876752318168
6,2.761492588082138
7,2.590897310753258
8,2.4620659351348877
9,2.3402785731821645
10,2.267775512471491
0.4273
0.73
Epoch,AMP_loss
1,5.6135284341111475
2,4.700643826504143
3,4.675914297298509
4,4.667043912167451
5,4.662588990464503
6,4.661780493600028
7,4.657271312207592
8,4.659077748960378
9,4.6540224649468245
10,4.656377955358856
0.01
0.73
Epoch,AMP_loss
1,4.100355705436395
2,3.63847562974813
3,3.367988726314233
4,3.1319195360553507
5,2.9301967000474733
6,2.7383251214513975
7,2.5775917172431946
8,2.4304357207551295
9,2.332148476522796
10,2.241483527786878
0.3675
0.72
