op_name,input_shape,exec_dtype,avg_exec_time
conv2d-1,"torch.Size([64, 3, 224, 224])",torch.bfloat16,2.1092509769368917
relu-2,"torch.Size([64, 64, 55, 55])",torch.bfloat16,0.046958267921581864
max_pool2d-3,"torch.Size([64, 64, 55, 55])",torch.bfloat16,0.12040877831168473
conv2d-4,"torch.Size([64, 64, 27, 27])",torch.bfloat16,0.7295811816584319
relu-5,"torch.Size([64, 192, 27, 27])",torch.bfloat16,0.030531150987371802
max_pool2d-6,"torch.Size([64, 192, 27, 27])",torch.bfloat16,0.07658684276975691
conv2d-7,"torch.Size([64, 192, 13, 13])",torch.bfloat16,0.32534104073420167
relu-8,"torch.Size([64, 384, 13, 13])",torch.bfloat16,0.02404313418082893
conv2d-9,"torch.Size([64, 384, 13, 13])",torch.bfloat16,0.3618010610807687
relu-10,"torch.Size([64, 256, 13, 13])",torch.bfloat16,0.024108701618388295
conv2d-11,"torch.Size([64, 256, 13, 13])",torch.bfloat16,0.26107894140295684
relu-12,"torch.Size([64, 256, 13, 13])",torch.bfloat16,0.024083619937300682
max_pool2d-13,"torch.Size([64, 256, 13, 13])",torch.bfloat16,0.034539783373475075
linear-14,"torch.Size([64, 9216])",torch.bfloat16,0.2703134063631296
relu-15,"torch.Size([64, 4096])",torch.bfloat16,0.023891398450359702
dropout-16,"torch.Size([64, 4096])",torch.bfloat16,0.032198247499763966
linear-17,"torch.Size([64, 4096])",torch.bfloat16,0.11617491254583001
relu-18,"torch.Size([64, 4096])",torch.bfloat16,0.013472040882334113
dropout-19,"torch.Size([64, 4096])",torch.bfloat16,0.030484681483358145
linear-20,"torch.Size([64, 4096])",torch.bfloat16,0.05082789808511734
